Category,Brands,Influencers,Engagement
Automobile,ashokleyland,busfansadoor,1.529802095
Automobile,ashokleyland,lifeathgs,1.796859489
Automobile,ashokleyland,frank_highway,0.02896002332
Automobile,ashokleyland,gulfoil.india,0.02128921698
Automobile,ashokleyland,thechoprafoundation,0.02155253726
Automobile,ashokleyland,eeco_carlover,0.08664240608
Automobile,ashokleyland,gsrtc_unplugged,0.008890198211
Automobile,ashokleyland,_etauto,0.4866129809
Automobile,ashokleyland,autos_vlog,0.03157987785
Automobile,ashokleyland,ksrtc.unofficial,0.006536995272
Automobile,ashokleyland,8feet6wheels,0.203125
Automobile,audiin,mitchgilbertracing,0.9331659262
Automobile,audiin,therajmahalpalace,0.1833005543
Automobile,audiin,auditradition,0.006440267256
Automobile,audiin,divyagursahani,0.3258570704
Automobile,audiin,globalspaindia,0.05867177885
Automobile,audiin,zohacastelino,0.1910913845
Automobile,audiin,lucas74cruz,0.05341360029
Automobile,audiin,s.peterhansel,0.02782093305
Automobile,audiin,raashotels,0.2435372057
Automobile,audiin,benoittreluyer,0.01410105115
Automobile,audiin,whatesh,0.06010105115
Automobile,harleydavidson,_nehajha_,0.5946579527
Automobile,harleydavidson,humsufi_insta,0.02010105115
Automobile,harleydavidson,apacheindianhq,0.03884974999
Automobile,harleydavidson,anushriyagulati,0.007757343328
Automobile,harleydavidson,nataliemicah,0.3329170384
Automobile,harleydavidson,broken.asphalt,3.267307865
Automobile,harleydavidson,mr_harley_kid,0.03083291096
Automobile,harleydavidson,motorcycletales,0.1311016831
Automobile,harleydavidson,indiabikeweek,0.04278165843
Automobile,harleydavidson,indiabikeweek,0.04278165843
Automobile,harleydavidson,theweaero,0.07013431013
Automobile,hyundaiindia,ritambhatnagar,0.2194110764
Automobile,hyundaiindia,prateek.mahesh,0.1760534158
Automobile,hyundaiindia,labelnityabajaj,0.2055247631
Automobile,hyundaiindia,vaibhavrajgupta,0.03273009741
Automobile,hyundaiindia,theenigmaticdrummer,0.5335614332
Automobile,hyundaiindia,shankuraj_konwarmusical,0.1664338107
Automobile,hyundaiindia,sunita_rajwar,0.009485337356
Automobile,hyundaiindia,pardeep_kumar11,0.5939414961
Automobile,hyundaiindia,aline_krauter,1.431865715
Automobile,hyundaiindia,mizoram_tourism,0.01202285827
Automobile,hyundaiindia,awaaraphotographer,0.124598587
Automobile,hondacarindia,aemotorshow,0.2678732352
Automobile,hondacarindia,mad_over_travell,0.2288087056
Automobile,hondacarindia,titusupputuru,0.05843621399
Automobile,hondacarindia,hormazdsorabjee,0.02578983598
Automobile,hondacarindia,gawdesslike,0.2758683743
Automobile,hondacarindia,autocar_official,0.03369980507
Automobile,hondacarindia,jitendravaswani,0.03219980507
Automobile,hondacarindia,siddique_sculpture,0.1188697071
Automobile,hondacarindia,martyco.in,5.052285502
Automobile,hondacarindia,_megharoy_,0.09771986971
Automobile,hondacarindia,autoxmag,0.09575357829
Automobile,indiatriumph,_khantaha_,0.02335993771
Automobile,indiatriumph,motorcyclenews,0.03186047918
Automobile,indiatriumph,triumphgermany,0.05379857942
Automobile,indiatriumph,mr_bajaj,4.882296371
Automobile,indiatriumph,suparbiker,0.06292990286
Automobile,indiatriumph,max.hwrd,0.04593228492
